"Livestock: Volume of Production by Animal Type, Region and by Quarter, 2000-2023",,,,,,,,
,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018
,,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Carabao,..CAR,3234.00,3359.00,3273.00,3145.00,3106.00,2991.00,2871.00
,..I - Ilocos Region,10150.00,10701.00,10161.00,10674.00,10298.00,9814.00,9573.00
,..II - Cagayan Valley,11549.00,10525.00,10549.00,9924.00,10698.00,10372.00,9892.00
,..III - Central Luzon,6596.00,6537.00,6914.00,6886.00,6767.00,5843.00,5931.00
,..IVA - CALABARZON,6406.00,6469.00,7017.00,7491.00,7277.00,7527.00,7625.00
,..MIMAROPA Region,6915.00,6819.00,6701.00,6086.00,6169.00,6223.00,5652.00
Cattle,..CAR,4656.00,4663.00,4570.00,4430.00,4333.00,4155.00,4000.00
,..I - Ilocos Region,26979.00,27817.00,27704.00,28346.00,27767.00,27376.00,27288.00
,..II - Cagayan Valley,14112.00,14336.00,14539.00,14106.00,15107.00,14328.00,13678.00
,..III - Central Luzon,18603.00,18938.00,18411.00,18314.00,18790.00,16198.00,17388.00
,..IVA - CALABARZON,24194.00,24789.00,26147.00,28051.00,28655.00,28126.00,27534.00
,..MIMAROPA Region,10866.00,11149.00,11647.00,12268.00,12466.00,12803.00,12176.00
Hog,..CAR,31589.00,30533.00,28771.00,26747.00,26361.00,25833.00,26655.00
,..I - Ilocos Region,81706.00,82977.00,81609.00,82731.00,86553.00,90065.00,94684.00
,..II - Cagayan Valley,68525.00,68766.00,67093.00,68853.00,71356.00,72869.00,71805.00
,..III - Central Luzon,338493.00,362341.00,380674.00,422534.00,462430.00,447517.00,472552.00
,..IVA - CALABARZON,297082.00,309486.00,315598.00,336349.00,365056.00,371713.00,381590.00
,..MIMAROPA Region,70607.00,73105.00,74222.00,77666.00,79585.00,83047.00,80840.00
Goat,..CAR,877.00,862.00,806.00,813.00,845.00,838.00,808.00
,..I - Ilocos Region,10465.00,10549.00,10446.00,10977.00,10666.00,10423.50,11318.00
,..II - Cagayan Valley,1874.00,1809.00,1779.00,1692.00,1685.00,1615.00,1636.00
,..III - Central Luzon,7963.00,8030.00,8635.00,8968.00,8843.00,9376.00,8610.00
,..IVA - CALABARZON,3259.00,3431.00,3565.00,3671.00,3797.50,3815.00,3718.00
,..MIMAROPA Region,2400.00,2384.00,2325.00,2462.00,2492.00,2436.00,2242.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Internal reference code:,,,,,,,,
2E4FPLS0,,,,,,,,
